id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
243,6490,日本ピラー工業,パイプ・バルブ,http://www.pillar.co.jp/,272,19,8,4,2,
244,3433,トーカロ,メッキ・熱処理加工,http://www.tocalo.co.jp/,290,19,7,4,2,
245,3978,マクロミル,市場調査サービス,http://www.macromill.com/,355,19,N/A,4,2,
246,6464,ツバキ・ナカシマ,ベアリング,http://www.tsubaki.com/,369,19,N/A,4,2,
247,4626,太陽ホールディングス,塗料・インキ,http://www.taiyo-hd.co.jp/,479,19,6,4,2,
248,8923,トーセイ,リノベーション,http://www.toseicorp.co.jp/,498,19,15,4,2,
249,6877,OBARA　GROUP,溶接機械,http://www.obara-g.com/,501,19,7,4,2,
250,1414,ショーボンドホールディングス,鉄骨・橋梁工事,http://www.sho-bondhd.jp/,533,19,1,4,2,
251,9436,沖縄セルラー電話,移動体通信,http://www.au.kddi.com/okinawa_cellular/,630,19,4,4,2,
252,8367,南都銀行,地方銀行,http://www.nantobank.co.jp/,812,19,-2,4,2,
253,8359,八十二銀行,地方銀行,http://www.82bank.co.jp/,2092,19,5,4,2,
254,8601,大和証券グループ本社,証券会社,http://www.daiwa-grp.jp/,6165,19,3,4,2,
255,8035,東京エレクトロン,半導体・液晶製造装置（前工程）,http://www.tel.co.jp/,7997,19,10,4,2,
256,4063,信越化学工業,合成樹脂,http://www.shinetsu.co.jp/,12374,19,4,4,2,
257,8604,野村ホールディングス,証券会社,http://www.nomura.com/jp/,17155,19,-4,4,2,
258,9433,KDDI,移動体通信,http://www.kddi.com/,47483,19,5,4,2,
259,8912,エリアクエスト,ビルメンテナンス,http://www.area-quest.com/,23,18,23,4,2,
260,3031,ラクーン,Eコマース（B to B）,http://www.raccoon.ne.jp/,24,18,-25,4,2,
261,6176,ブランジスタ,モバイルコンテンツ制作・配信,http://www.brangista.com/,28,18,N/A,4,2,
262,3798,ULSグループ,各種受託システム開発,http://www.ulsgroup.co.jp/,47,18,3,4,2,
263,3919,パイプドHD,ソフトウェア（業務支援）,https://www.pipedohd.com/,48,18,N/A,4,2,
264,4369,トリケミカル研究所,機能性化学（電子材料）,http://www.trichemical.com/,55,18,11,4,2,
265,2814,佐藤食品工業,清涼飲料,http://www.sato-foods.co.jp/,62,18,1,4,2,
